Headline,Main Verbs,Gender,Active.role,Career.related,Facebook.likes,Date
Khloe Kardashian & French Montana Continue To Show Off Their Love In Miami!,show off,f,0,0,321,3.30.2015
Justin Bieber Crashed Skrillex's Set At Ultra Music FestivalÉ So He Could Lip Synch And Dance Like A Robot??,crash lip synch dance,m,1,1,238,3.30.2015
"5 Things You Need To Know About Louis Tomlinson's New Lady, Lucy Julian!",,m,1,0,65,3.30.2015
Rita Ora Is One Classy Dame At Boyfriend Ricky Hilfiger's Birthday Party,is,f,0,0,154,3.30.2015
There's A NewÊJurassic WorldÊTV Spot! Chris Pratt And Bryce Dallas Howard Look Terrified (And Beautiful)!!,look,m,0,1,64,3.30.2015
Kim Kardashian Captures The Sweetest Moment Between North West And Her BFF During Their Pre-Easter Egg Hunt!,capture,f,1,0,186,3.30.2015
Hot Momma Alert! Ashlee Simpson Shows Off Her Baby Bump In A String Bikini!,show off,f,0,0,194,3.30.2015
Jessica Chastain Looks Luxe In Lace At The Jameson Empire Awards!,look,f,0,0,0,3.30.2015
Claudia Jordan & Phaedra Parks Start To Bury The Hatchet OnÊReal Housewives Of Atlanta,bury the hatchet,f,1,1,40,3.30.2015
Iggy Azalea Reveals Why She Blabbed About Her Boob Job! The Singer Opened Up Because Of THIS!,reveal open up,f,1,0,252,3.30.2015
One Direction Had Their First Concert Without Zayn!! Find Out How They Did And What They Said About Their Former Bandmate!!,have do say,m,1,1,545,3.30.2015
Rihanna Puts Her Sweet Side On Display ForÊVanity FairÊItalia,put,f,0,0,1,3.30.2015
Jon Stewart's Replacement Found! Find Out Who Will Take OverÊThe Daily ShowÊHERE!,find,m,0,1,169,3.30.2015
Kylie Jenner Proudly Shows Off Her Bikini In A Kim Kardashian-esque Photo Ñ Summer Is Just Around The Corner!,show off is,f,0,0,219,3.30.2015
Taylor Swift Had The BEST TIME EVER At The iHeartRadio Music Awards! Here Are 7 GIFs That Prove It!,have,f,1,1,661,3.30.2015
Helen Mirren Is All About 69É The Dame Says She's Currently Having The Best Sex Of Her Life!,is say has,f,1,0,148,3.30.2015
Snoop Dogg Gives The iHeartRadio Music Awards A Sugar Rush!! Watch His Performance OfÊPeaches N Cream!!,give,m,1,1,87,3.29.2015
Nate Ruess Belts Out A Powerful Rendition OfNothing Without LoveÊAt The iHeartRadio Music Awards! WATCH!,belt out,m,1,1,361,3.29.2015
Jamie Foxx & Chris Brown KnockÊYou Change MeÊOut Of The Park At The 2015 iHeartRadio Music Awards!,knock out,m,1,1,65,3.29.2015
Jason Derulo Lights Up The iHeartRadio Music Awards! Watch Him PerformÊWant To Want Me!!,light up perform,m,1,1,54,3.29.2015
Madonna & Taylor Swift Perform A Magical Rendition OfÊGhosttownÊAt The iHeartRadio Music Awards 2015!,perform,f,1,1,688,3.29.2015
Jason Aldean Delivers A Fiery Performance OfBurnin' It DownÊAt The 2015 iHeartRadio Music Awards!,deliver,m,1,1,94,3.29.2015
Jennifer Hudson Is A Modern Day Flapper At The iHeartRadio Music Awards!,is,f,0,0,51,3.29.2015
Rihanna Slays The 2015 iHeartRadio Music Awards With A Badass Performance OfÊB*tch Better Have My Money! Watch HERE!,slay,f,1,1,555,3.29.2015
Justin Timberlake Takes Home The Innovator Award At The iHeartRadio Music Awards! Watch His Speech Where He DOES Mention His Soon-To-Be-Here Baby!,take home mention,m,1,1,474,3.29.2015
Meghan Trainor Vs. Christina Aguilera: Who Makes The Better Sailor???,make,f,0,0,179,3.29.2015
Kelly Clarkson Fails To Impress In The Fashion Department At The iHeartRadio Music Awards,fail impress,f,0,0,333,3.29.2015
"Gina Rodriguez, Alanna Masterson, & Jessica Szohr Represent TV On The iHeartRadio Music Awards Red Carpet",represent,f,1,1,57,3.29.2015
Kelly Clarkson Lets You Listen To HerÊHeartbeat SongAt The 2015 iHeartRadio Music Awards! Watch HERE!,let,f,1,1,148,3.29.2015
Meghan Trainor Delivers A Fun Performance OfÊDear Future HusbandÊAt The 2015 iHeartRadio Music Awards!,deliver,f,1,1,254,3.29.2015
Justin Timberlake & Taylor Swift Are The Perfectly Coordinated Pairing At The iHeartRadio Music Awards,are,m,0,0,283,3.29.2015
Jamie Foxx Opens The 2015 iHeartRadio Music Awards With Some Controversial Jokes About Bruce Jenner! Watch HERE!,open,m,1,1,181,3.29.2015
Iggy Azalea & Jennifer Hudson Are The Best Kind OfTroubleÊAt The 2015 iHeartRadio Music Awards!,are,f,0,1,57,3.29.2015
Nick Jonas Gets Wrapped InÊChainsÊAt The 2015 iHeartRadio Music Awards!,wrap,m,0,1,98,3.29.2015
Pitch Perfect 2's Hailee Steinfeld & Anna Camp Rock Multiple Colors On The iHeartRadio Music Awards Red Carpet,rock,f,0,0,63,3.29.2015
"Chris Brown, Nick Jonas, & Boy George Don Some Creative Looks At The iHeartRadio Music Awards 2015!",don,m,0,0,103,3.29.2015
Aubrey O'Day And Shannon Bex Are Silver Foxes On The iHeartRadio Music Awards Red Carpet,are,f,0,0,427,3.29.2015
Ian Ziering & Erin Kristine Ludwig Make A Handsome Couple At The iHeartRadio Music Awards,make,m,0,0,152,3.29.2015
Taylor Swift Makes This Sparkly Little Black Dress Super Hot On The iHeartRadio Music Awards Red Carpet!,make,f,0,0,884,3.29.2015
Zendaya Sports Another Bright Look At The iHeartRadio Music Awards!,sport,f,0,0,221,3.29.2015
Jason Aldean & New Wife Brittany Kerr Heat Up The iHeartRadio Music Awards Red Carpet With Leather & PDA!,heats up,m,1,0,769,3.29.2015
Ariel Winter & Brittany Snow White Out On The iHeartRadio Music Awards Red Carpet!,white out,f,0,0,181,3.29.2015
Meghan Trainor & Greer Grammar Display Dangerous Curves At The iHeartRadio Music Awards,display,f,0,0,511,3.29.2015
Iggy Azalea Lets Her Style Go Wild On The 2015 iHeartRadio Music Awards Red Carpet!,let go,f,0,0,281,3.29.2015
If Zayn Says He Didn't Want To Pursue Music Now That He's Left One DirectionÉ Then Why Does He Keep Having Meetings With Naughty Boy!?,say want pursue leave has,m,1,1,262,3.29.2015
Mariah Carey's Cleavage Comes Out To Play With Maybe-Boyfriend Brett Ratner Nearby,come out play,f,0,0,6,3.29.2015
_Khloe Kardashian Has Been Trying To Call Lamar Odom But He Won't Answer!,try to call answer,f,1,0,509,3.29.2015
Carrie Underwood Finally Shares The First Pic Of Her Newborn Son Isaiah In An Adorable Nod To Her Husband's Hockey Team!,share,f,1,0,14,3.29.2015
_Tom Brady Channels Superman For A Cliff Jump But Will Never Do It Again! Watch HERE!,channel do,m,1,0,220,3.29.2015
_Amber Rose & Wiz Khalifa Are Working To Co-Parent Peacefully After He Wrote THIS Song,work co-parent write,f,1,0,7,3.29.2015
Zayn Cheated On Fianc_e Perrie Edwards With A Swedish Model While In Thailand?! Hear Her Side Of The Story!,cheat,m,1,0,980,3.29.2015
_Coco Rocha Gives Birth To Her Baby Girl Who Immediately Did A Gigi Hadid Impression! See It HERE!,give birth do,f,1,0,7,3.29.2015
_Justin Bieber Joins Ariana Grande On Stage In Miami But Forgot The Lyrics! She Remembered Boyfriend Big Sean's Rap Though! Watch!,join forget remember,m,1,1,801,3.29.2015
Ever Wonder How Amber Rose Got Those MILLIONS Of Followers?? Check Out Her Rise To Fame HERE!,have,f,0,1,268,3.29.2015
_Zendaya Wants You To Know Something Important About Her Red Carpet Hairstyles! Watch Her Spell It Out!,want know spell out,f,1,0,486,3.29.2015
Hugh Jackman Hanging Up Iconic Claws?! Actor Hints ThatÊWolverine 3ÊMay Be His Last Portrayal Of The X-Men Character!!,hint be ,m,1,1,485,3.29.2015
Katie Holmes Takes Suri Cruise To The Kids' Choice Awards!! Aint This Just The Cutest Photo You've Ever Seen Of Them?!,take,f,1,0,583,3.28.2015
Nick Jonas First Chugs The Slime & Then Gets Slimed At The 2015 Kids' Choice Awards! Watch His Slime-A-Thon HERE!,chug get slimed,m,1,0,94,3.28.2015
Meghan Trainor Got To Meet Angelina Jolie's Kids Zahara & Shiloh At The Kids' Choice Awards!,get,f,1,0,612,3.28.2015
Iggy Azalea At The Kids' Choice Awards Vs. Uma Thurman InÊKill Bill: Who Wore The Yellow Jumpsuit Better???,wear,f,0,0,470,3.28.2015
Wanna See What Jennifer Lopez Wore To The Kids' Choice Awards?,wear,f,0,0,196,3.28.2015
Adam Sandler Slimes Co-Star Josh Gad At The 2015 Kids' Choice Awards! See The Goo HERE!,slime,m,1,0,93,3.28.2015
What Do You Think Of Emma Stone's Shiny Outfit At The Kids' Choice Awards?,,f,0,0,78,3.28.2015
Iggy Azalea & Jennifer Hudson Perform A Fun Rendition OfÊTroubleÊAt The 2015 Kids' Choice Awards!,perform,f,1,1,247,3.28.2015
"Mo'ne Davis, The Teen Pitcher Who Was Slut-Shamed, Shows Class & Grace At The Kids' Choice Awards",show was slut-shamed,f,0,0,129,3.28.2015
Zendaya's Oscar Hair Vs. Her Kids' Choice Awards Hair: Which Look Do You Prefer?!,,f,0,0,523,3.28.2015
"Kaley Cuoco-Sweeting Mixes, Matches, & Misfires At The Kids' Choice Awards",mix match misfire,f,0,0,126,3.28.2015
"Modern Family's Sarah Hyland, Ariel Winter, Nolan Gould, Rico Rodriguez, & Jesse Tyler Ferguson Get Slimed At The 2015 Kids' Choice Awards!",slime,f,0,1,147,3.28.2015
Nick Jonas Makes YouÊJealousÊWith His Hot Opening Performance At The 2015 Kids' Choice Awards! Watch HERE!,make,m,1,1,340,3.28.2015
Angelina Jolie Takes Her Children To The Kids' Choice Awards! Pics HERE!!,take,f,1,0,5600,3.28.2015
Sarah Hyland & Ariel Winter Embody Spring With These Fresh Floral Looks At The Kids' Choice Awards,embody,f,0,0,146,3.28.2015
Zendaya & Meghan Trainor Rock Two Unique Looks At The Kids' Choice Awards: Leopard Print AND Stripes!,rock,f,0,0,215,3.28.2015
Iggy Azalea Is Pure Elegance At The Kids' Choice Awards,is,f,0,0,394,3.28.2015
Jennifer Hudson Slays In A Black Jumpsuit While Her Son David Rocks A Fedora At The Kids' Choice Awards!,slay,f,0,0,328,3.28.2015
Nick Jonas Lets His White Hot Girlfriend Olivia Culpo Steal The Show At The Kids' Choice Awards!,let steal,m,1,0,134,3.28.2015
Kate Hudson Says She & Ex Matthew Bellamy Will Always Be 'Family',say is,f,1,0,313,3.28.2015
Louis Tomlinson's Make Out Mystery Pool Girl Has Been Identified!,identify,m,0,0,139,3.28.2015
_Millionaire Matchmaker's Patti Stanger Reveals She Was There WhenÊReal HousewivesÊStar Ramona Singer's Husband Started Cheating On Her,reveal is cheat,f,1,0,6,3.28.2015
_Chris Brown Scores A Las Vegas Residency!,score,m,1,1,625,3.28.2015
Simon Cowell Seems Intent On Keeping Zayn Malik As A Part Of His Record Label!,is keep,m,1,1,503,3.28.2015
Mariah Carey & Brett Ratner Spent Their Birthdays TogetherÉ But Are They Dating?!,spend is,f,1,0,10,3.28.2015
Roger Moore Doesn't Think Idris Elba Can Be James Bond Because He Isn't English Enough?!,think is,m,1,1,1900,3.28.2015
_Kim Kardashian Has Been Denied Soho House Access Despite Trying 'Numerous Times',deny try,f,0,0,1000,3.28.2015
Someone Has Already Found A Replacement For Zayn Malik?! Check Out The Top 10 Vines Of The Week!,find,m,0,1,4,3.28.2015
Calvin Harris Changed His Mind About Taylor Swift After THIS Happened!,change his mind,m,1,0,539,3.28.2015
Scott Disick Parties In Las Vegas & Reveals He Only Planned To Stay In Rehab For A Week,party reveal,m,1,0,10,3.28.2015
Justin Bieber Sued For Allegedly Slapping A Canadian Limo Driver Upside The Head!,sue slap,m,0,0,457,3.28.2015
Sam Worthington & Lara Bingle Welcome Their Very First Baby! Find Out The Gender HERE!,welcome,m,1,0,4,3.28.2015
Justin Bieber Shares Some Deep Thoughts With Random Stranger On A Hike!,share,m,1,0,10,3.27.2015
Openly Gay Football Player Michael Sam Drops Bomb: 'I Am Not The Only Gay Person In The NFL',drop bomb is,m,1,0,7,3.27.2015
Zayn Malik's Solo Career Is In Motion But Which Lone Direction Is He Heading?!,is,m,1,1,528,3.27.2015
EXCLUSIVE Is Lisa Vanderpump Giving The Clothes Off Her Back For Charity?! Well É Almost!,give,f,1,0,6,3.27.2015
Twitter Explodes In Backlash Over Lena Dunham'sNew YorkerÊQuiz That Equates Jews With Dogs,explode equate,f,0,0,87,3.27.2015
Taraji P. Henson Apologizes For Saying Her Son Was Racially Profiled By Police,apologize say profile,f,1,0,483,3.27.2015
EXCLUSIVE! Katy Perry Tells All At Her EPIX Concert Special Premiere Q&A! Find Out What Shoes She MUST Take On Tour With Her HERE!,tell take,f,1,1,87,3.27.2015
Is Justin Bieber Trying To Pull A Pharrell With This New Hat??,try,m,1,0,126,3.27.2015
Drea De Matteo's Home Was Destroyed In The Manhattan Explosion ÑÊSopranosÊStar Posts Pictures Of Her Building In Flames,destroy post,f,1,0,304,3.27.2015
Eva Mendes Shares Her First Red Carpet Look! You Won't Believe How Cheap Her Dress Was!,share is,f,1,0,219,3.27.2015
Britney Spears Shows Off Her Fabulous Figure While On Vacation In Hawaii!,show off,f,0,0,1000,3.27.2015
And You Thought Mary-Kate & Ashley Were Powerful! Elizabeth Olsen Gives You The Skinny On Scarlet Witch In Brand NewÊAvengersÊFeaturette HERE!,give is,f,1,1,71,3.27.2015
"Teen Mom 2's Jenelle Evans Has Shed The Baby Weight Ñ The Reality Star Is Down To A Teeny 108 Lbs! So, How'd She Do It?!",shed is do,f,1,0,413,3.27.2015
Paul Walker Has A Vicious Vehicular Fight With Tony Jaa In This Brand New Clip FromÊFurious 7!,has,m,1,1,221,3.27.2015
Jennifer Lopez & Casper Smart's Relationship Reunion Is Sealed With THIS Kiss! They Are Publicly Hot And Heavy Again!,is,f,0,0,536,3.27.2015
Get Katy Perry's Classy Tuxedo Dress For Le$$!,,f,0,0,157,3.27.2015
Ed Sheeran Embraces The Single Life Immediately Following His Split From Athina Andrelos Ñ Spotted Out With THIS Victoria's Secret Stunner!,embrace spotted,m,1,0,216,3.27.2015
